Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
65000.0,1.0,2600.0,1,3,2009,25.0,20.0,3.0,Введенська,Подільський,2.0
125000.0,2.0,2778.0,6,9,1965,45.0,37.0,14.0,Виноградний,Печерський,0.0
48000.0,1.0,849.0,22,25,2009,69.0,40.0,10.0,Кайсарова,"Голосіївський,Солом'янський",19.0
37000.0,1.0,925.0,11,25,2009,40.0,37.0,10.0,Кайсарова,"Голосіївський,Солом'янський",0.0
63000.0,3.0,900.0,7,10,1987,70.0,44.0,14.0,Бориспільська,Дарницький,12.0
41500.0,1.0,1092.0,4,25,2009,38.0,17.0,10.0,Бориспільська,Дарницький,11.0
48000.0,2.0,923.0,7,16,2009,52.0,37.0,14.0,Бориспільська,Дарницький,1.0
390000.0,3.0,3000.0,11,28,2013,130.0,48.0,66.0,Болсуновська,Печерський,16.0
275000.0,2.0,4435.0,22,28,2013,62.0,30.0,20.0,Болсуновська,Печерський,12.0
118000.0,2.0,1311.0,15,25,1959,90.0,41.0,13.0,Науки,Голосіївський,36.0
55500.0,2.0,911.0,8,18,1971,69.0,28.0,14.0,Науки,Голосіївський,27.0
159990.0,4.0,1437.0,6,10,2016,69.0,37.0,30.0,Метрологічна,Голосіївський,2.0
68900.0,1.0,1531.0,8,9,2016,45.0,25.0,11.0,Метрологічна,Голосіївський,9.0
100000.0,2.0,1099.0,8,9,1970,91.0,37.0,14.0,Метрологічна,Голосіївський,40.0
45900.0,2.0,1020.0,1,5,1965,45.0,30.0,4.0,Метрологічна,Голосіївський,11.0
85000.0,3.0,1417.0,2,5,1961,60.0,44.0,6.0,Дружби Народів,Печерський,10.0
95000.0,2.0,1696.0,9,9,1966,56.0,34.0,8.0,Дружби Народів,Печерський,14.0
99800.0,3.0,1535.0,6,8,1962,65.0,37.0,14.0,Дружби Народів,Печерський,14.0
35000.0,2.0,778.0,1,2,2009,45.0,37.0,14.0,Кримська,Голосіївський,0.0
63000.0,2.0,969.0,4,25,2009,65.0,31.0,13.0,Новопольова,Солом'янський,21.0
70000.0,2.0,1006.0,23,25,2009,69.0,37.0,14.0,Новопольова,Солом'янський,18.0
57000.0,2.0,919.0,2,25,2009,62.0,45.0,14.0,Новопольова,Солом'янський,3.0
